['G51', 'G48', 'G33', 'G21', 'G19', 'G14', 'G73', 'G66'];;X;Y;X1;Y1
V12;;744851,955;6943999,333;744851,9517;6943999,337
V13;;744958,5882;6944107,77;744958,6138;6944107,754
V14;;744983,8637;6944177,195;744983,8694;6944177,169
V15;;744873,2157;6944252,743;744873,2112;6944252,756
V16;;744961,3778;6944365,326;744961,3927;6944365,329
V17;;744895,9117;6944433,295;744895,9053;6944433,308
V18;;745027,9655;6944505,273;745027,9742;6944505,255
V19;;744947,5389;6944568,044;744947,5341;6944568,059
V20;;744909,3735;6944668,252;744909,3748;6944668,278
V21;;744850,373;6944703,997;744850,3571;6944704,026
V22;;744801,2821;6944637,611;744801,2928;6944637,669
V23;;744715,8014;6944606,097;744715,8142;6944606,16
V24;;744710,6679;6944516,865;744710,6729;6944516,927
V25;;744799,722;6944440,585;744799,7232;6944440,624
V26;;744659,647;6944369,933;744659,6545;6944369,991
V27;;744601,7997;6944461,979;744603,0966;6944461,605
V28;;744704,4832;6944714,315;744704,4781;6944714,369
V29;;744692,873;6944781,455;744692,875;6944781,506
